1,5,Basketball,Basketball Men's Basketball,
2,1,Judo,Judo Men's Extra-Lightweight,
3,2,Football,Football Men's Football,
4,3,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
5,4,Speed Skating,Speed Skating Women's 500 metres,
5,4,Speed Skating,"Speed Skating Women's 1,000 metres",
5,5,Speed Skating,Speed Skating Women's 500 metres,
5,5,Speed Skating,"Speed Skating Women's 1,000 metres",
5,6,Speed Skating,Speed Skating Women's 500 metres,
5,6,Speed Skating,"Speed Skating Women's 1,000 metres",
6,5,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
6,5,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
6,5,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
6,5,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
6,6,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
6,6,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
6,6,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
6,6,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
7,5,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
7,5,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,
7,5,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
7,5,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
7,6,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
7,6,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
7,6,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit,
7,6,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,
8,7,Athletics,Athletics Women's 100 metres,
8,7,Athletics,Athletics Women's 4 x 100 metres Relay,
9,8,Ice Hockey,Ice Hockey Men's Ice Hockey,
10,9,Swimming,Swimming Men's 400 metres Freestyle,
11,10,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,
12,11,Badminton,Badminton Men's Singles,
13,12,Sailing,Sailing Women's Windsurfer,
13,11,Sailing,Sailing Women's Windsurfer,
14,6,Biathlon,Biathlon Women's 7.5 kilometres Sprint,
15,13,Swimming,Swimming Men's 200 metres Breaststroke,
15,13,Swimming,Swimming Men's 400 metres Breaststroke,
